Disease,Resolution,Direction,CellType,Real_Score,P_Value,FDR_Adjusted_P
adhd,700,Negative,sst_expr,0.0092559566842564,0.004,0.0142702702702702
adhd,700,Negative,sst_sig,0.0092559566842564,0.004,0.0142702702702702
adhd,700,Negative,opc_sig,0.0014478272462378,0.124,0.3088301886792453
adhd,700,Negative,l5_it_sig,0.0011217108105976,0.188,0.4350857142857143
adhd,700,Negative,l6_ct_sig,0.0019754338343582,0.263,0.5556206283343214
adhd,700,Negative,pericyte_sig,0.0022368469341671,0.276,0.5749059029807131
adhd,700,Negative,gad_sig,0.0003747794431759,0.297,0.6052075471698113
adhd,700,Negative,astro_sig,-0.0001461743917782,0.409,0.7684111755403268
adhd,700,Negative,oligo_sig,-0.0003331702222173,0.52,0.913846153846154
adhd,700,Negative,microglia_sig,0.0052184981852875,0.619,1.0
adhd,700,Negative,l4_it_sig,-0.0043533135314567,0.95,1.0
adhd,700,Negative,pvalb_sig,0.003603327074832,0.958,1.0
adhd,700,Negative,pvalb_expr,0.003603327074832,0.958,1.0
adhd,700,Negative,l2_3_it_sig,-0.005330718744314,0.987,1.0
adhd,700,Negative,vip_sig,-0.0067250163733271,0.999,1.0
adhd,700,Negative,lamp5_sig,-0.0051578491207485,1.0,1.0
adhd,700,Negative,l6_it_sig,-0.0116223902447667,1.0,1.0
adhd,700,Positive,vip_sig,0.0079523495363713,0.001,0.0037995735607675
adhd,700,Positive,l6_it_sig,0.0055696337738053,0.004,0.0142702702702702
adhd,700,Positive,lamp5_sig,0.0068098971135551,0.036,0.1063880597014925
adhd,700,Positive,l2_3_it_sig,0.0039301529858541,0.045,0.1292344883158742
adhd,700,Positive,microglia_sig,0.0123186684394034,0.069,0.189457627118644
adhd,700,Positive,l6_ct_sig,0.0022072396591804,0.33,0.657050279329609
adhd,700,Positive,oligo_sig,-0.000210359101502,0.347,0.6840199115044246
adhd,700,Positive,pericyte_sig,0.0003458398321682,0.406,0.765195134849286
adhd,700,Positive,astro_sig,0.0023096830347626,0.534,0.9311037181996086
adhd,700,Positive,gad_sig,-0.0016935963455222,0.849,1.0
adhd,700,Positive,l5_it_sig,-0.0040271576009188,0.972,1.0
adhd,700,Positive,opc_sig,-0.0018337743570494,0.998,1.0
adhd,700,Positive,endothelial_sig,-0.0058846897377146,0.998,1.0
adhd,700,Positive,l4_it_sig,-0.0065711551733001,1.0,1.0
adhd,700,Positive,pvalb_sig,0.0008296540954691,1.0,1.0
adhd,700,Positive,pvalb_expr,0.0008296540954691,1.0,1.0
adhd,700,Positive,sst_expr,-0.015251767064466,1.0,1.0
adhd,700,Positive,sst_sig,-0.015251767064466,1.0,1.0
adhd,800,Negative,sst_expr,0.0111673932414691,0.0,0.0
adhd,800,Negative,sst_sig,0.0111673932414691,0.0,0.0
adhd,800,Negative,gad_sig,0.0016619420277417,0.073,0.1983018292682926
adhd,800,Negative,l5_it_sig,0.0019929040785607,0.175,0.410328947368421
adhd,800,Negative,microglia_sig,0.0091156985567707,0.254,0.5427194244604316
adhd,800,Negative,opc_sig,0.001046712070141,0.312,0.6303673469387755
adhd,800,Negative,endothelial_sig,0.0037229648350007,0.324,0.6487280898876404
adhd,800,Negative,astro_sig,6.166375661099132e-05,0.385,0.7392995689655173
adhd,800,Negative,l6_ct_sig,0.0001839333934127,0.454,0.8259601837672282
adhd,800,Negative,oligo_sig,-0.001021091833585,0.691,1.0
adhd,800,Negative,pericyte_sig,0.0002714735273248,0.784,1.0
adhd,800,Negative,lamp5_sig,0.001098127857756,0.796,1.0
adhd,800,Negative,l6_it_sig,-0.0035132962570029,0.883,1.0
adhd,800,Negative,vip_sig,-0.0039616835461785,0.966,1.0
adhd,800,Negative,pvalb_expr,0.0053909758436055,0.995,1.0
adhd,800,Negative,pvalb_sig,0.0053909758436055,0.995,1.0
adhd,800,Negative,l4_it_sig,-0.0055031492446159,0.998,1.0
adhd,800,Negative,l2_3_it_sig,-0.007503537243795,1.0,1.0
adhd,800,Positive,l2_3_it_sig,0.0083818536934858,0.0,0.0
adhd,800,Positive,l6_it_sig,0.0107231697014197,0.0,0.0
adhd,800,Positive,lamp5_sig,0.0085176349497378,0.015,0.0481188118811881
adhd,800,Positive,vip_sig,0.0045155026063455,0.019,0.0597669902912621
adhd,800,Positive,l4_it_sig,0.0044865667650153,0.278,0.5773846153846155
adhd,800,Positive,oligo_sig,-0.0002979996908958,0.383,0.736252427184466
adhd,800,Positive,l6_ct_sig,3.259287935012434e-06,0.421,0.7851616954474097
adhd,800,Positive,opc_sig,0.0009512001547441,0.455,0.8269352371239164
adhd,800,Positive,l5_it_sig,-0.0018189272344297,0.732,1.0
adhd,800,Positive,pericyte_sig,-0.0017261981332968,0.854,1.0
adhd,800,Positive,gad_sig,-0.0014809322152649,0.86,1.0
adhd,800,Positive,astro_sig,-0.0022685150583405,0.971,1.0
adhd,800,Positive,pvalb_expr,0.0078773239312839,0.978,1.0
adhd,800,Positive,pvalb_sig,0.0078773239312839,0.978,1.0
adhd,800,Positive,endothelial_sig,-0.004104399826183,0.986,1.0
adhd,800,Positive,microglia_sig,-0.0052316944621343,1.0,1.0
adhd,800,Positive,sst_expr,-0.0160954237034942,1.0,1.0
adhd,800,Positive,sst_sig,-0.0160954237034942,1.0,1.0
adhd,900,Negative,opc_sig,0.0018628058279265,0.028,0.0844263959390863
adhd,900,Negative,l5_it_sig,0.0023837983308884,0.038,0.1112834839769925
adhd,900,Negative,astro_sig,0.0014913504213588,0.051,0.1448318725099601
adhd,900,Negative,gad_sig,0.0015217984483545,0.061,0.1705129411764706
adhd,900,Negative,endothelial_sig,0.0066897793727895,0.061,0.1705129411764706
adhd,900,Negative,sst_expr,0.0042733575907626,0.072,0.1964839203675344
adhd,900,Negative,sst_sig,0.0042733575907626,0.072,0.1964839203675344
adhd,900,Negative,vip_sig,0.0020165377162682,0.129,0.3183905817174515
adhd,900,Negative,oligo_sig,0.0011705140073569,0.218,0.4874228356336261
adhd,900,Negative,l6_ct_sig,0.000998334559871,0.246,0.531038158691702
adhd,900,Negative,microglia_sig,0.0041552477218915,0.408,0.7677465681098204
adhd,900,Negative,pvalb_sig,0.0067526896869942,0.409,0.7684111755403268
adhd,900,Negative,pvalb_expr,0.0067526896869942,0.409,0.7684111755403268
adhd,900,Negative,pericyte_sig,0.0012752438400649,0.433,0.7975255813953488
adhd,900,Negative,l4_it_sig,-0.001652772026819,0.913,1.0
adhd,900,Negative,lamp5_sig,-0.0036608286937161,0.987,1.0
adhd,900,Negative,l2_3_it_sig,-0.00566859115594,1.0,1.0
adhd,900,Negative,l6_it_sig,-0.0125168569090199,1.0,1.0
adhd,900,Positive,lamp5_sig,0.0093388771604903,0.005,0.0175566502463054
adhd,900,Positive,l6_it_sig,0.0050275604958153,0.019,0.0597669902912621
adhd,900,Positive,oligo_sig,0.0013779382883176,0.093,0.2414071376547705
adhd,900,Positive,l5_it_sig,0.0021783443289868,0.099,0.2540215982721382
adhd,900,Positive,l2_3_it_sig,0.0025923501586126,0.117,0.294067700987306
adhd,900,Positive,pericyte_sig,0.0009174498382226,0.331,0.6579386503067485
adhd,900,Positive,vip_sig,0.0009513612218092,0.333,0.6615451505016723
adhd,900,Positive,l6_ct_sig,0.0009027670087064,0.485,0.870801007556675
adhd,900,Positive,opc_sig,0.0006813199701921,0.622,1.0
adhd,900,Positive,gad_sig,-0.0008970326697777,0.66,1.0
adhd,900,Positive,endothelial_sig,-0.0016560933751673,0.753,1.0
adhd,900,Positive,astro_sig,-0.0005100465109508,0.867,1.0
adhd,900,Positive,microglia_sig,0.0022133283022907,0.894,1.0
adhd,900,Positive,l4_it_sig,-0.0030061714900536,0.999,1.0
adhd,900,Positive,pvalb_sig,0.0012130522219941,1.0,1.0
adhd,900,Positive,pvalb_expr,0.0012130522219941,1.0,1.0
adhd,900,Positive,sst_expr,-0.0063938656943449,1.0,1.0
adhd,900,Positive,sst_sig,-0.0063938656943449,1.0,1.0
adhd,1000,Negative,l5_it_sig,0.0054907603876401,0.0,0.0
adhd,1000,Negative,sst_expr,0.0075728100443975,0.0,0.0
adhd,1000,Negative,sst_sig,0.0075728100443975,0.0,0.0
adhd,1000,Negative,microglia_sig,0.0079423777119131,0.005,0.0175566502463054
adhd,1000,Negative,opc_sig,0.0015289914031913,0.03,0.0899243061396131
adhd,1000,Negative,endothelial_sig,0.005525199409954,0.063,0.1752786885245901
